# n1c/mol     n2c/mol      n1d/mmol     n2d/mmol     Q/J
 3.70000e-03  1.16935e-03  0.00000e+00  2.24875e-02  1.11350e-01
 3.70000e-03  1.19184e-03  0.00000e+00  2.24875e-02  1.10710e-01
 3.70000e-03  1.21433e-03  0.00000e+00  2.24875e-02  1.09020e-01
 1.80000e-03  1.80000e-03  0.00000e+00  2.24875e-02  3.94000e-02
 1.80000e-03  1.82249e-03  0.00000e+00  2.24875e-02  3.94900e-02
 1.80000e-03  1.84498e-03  0.00000e+00  2.24875e-02  3.80300e-02
 1.80000e-03  1.86746e-03  0.00000e+00  2.24875e-02  3.81200e-02
 1.80000e-03  1.88995e-03  0.00000e+00  2.24875e-02  3.74700e-02
 1.80000e-03  1.91244e-03  0.00000e+00  2.24875e-02  3.68300e-02
 1.80000e-03  1.93493e-03  0.00000e+00  2.24875e-02  3.61600e-02
 1.80000e-03  1.95741e-03  0.00000e+00  2.24875e-02  3.59000e-02
 1.80000e-03  1.97990e-03  0.00000e+00  2.24875e-02  3.50400e-02
 1.80000e-03  2.00239e-03  0.00000e+00  2.24875e-02  3.42500e-02
 1.80000e-03  2.02488e-03  0.00000e+00  2.24875e-02  3.34400e-02
 1.80000e-03  2.04736e-03  0.00000e+00  2.24875e-02  3.30100e-02
 1.80000e-03  2.06985e-03  0.00000e+00  2.24875e-02  3.27400e-02
 1.80000e-03  2.09234e-03  0.00000e+00  2.24875e-02  3.20700e-02
 1.80000e-03  2.11483e-03  0.00000e+00  2.24875e-02  3.14300e-02
 1.80000e-03  2.13731e-03  0.00000e+00  2.24875e-02  3.09300e-02
 1.80000e-03  2.15980e-03  0.00000e+00  2.24875e-02  3.01500e-02
 1.80000e-03  2.18229e-03  0.00000e+00  2.24875e-02  2.98900e-02
 1.80000e-03  2.20478e-03  0.00000e+00  2.24875e-02  2.94800e-02
 1.80000e-03  2.22726e-03  0.00000e+00  2.24875e-02  2.87800e-02
 1.80000e-03  2.24975e-03  0.00000e+00  2.24875e-02  2.85700e-02
 1.80000e-03  2.27224e-03  0.00000e+00  2.24875e-02  2.81400e-02
 1.80000e-03  2.29473e-03  0.00000e+00  2.24875e-02  2.77100e-02
 1.80000e-03  2.31721e-03  0.00000e+00  2.24875e-02  2.72600e-02
 1.80000e-03  2.33970e-03  0.00000e+00  2.24875e-02  2.68100e-02
 1.80000e-03  2.36219e-03  0.00000e+00  2.24875e-02  2.62400e-02
 1.80000e-03  2.38468e-03  0.00000e+00  2.24875e-02  2.59000e-02
 1.80000e-03  2.40716e-03  0.00000e+00  2.24875e-02  2.55700e-02
 1.80000e-03  2.42965e-03  0.00000e+00  2.24875e-02  2.52600e-02
 1.80000e-03  2.45214e-03  0.00000e+00  2.24875e-02  2.47600e-02
 1.80000e-03  2.47463e-03  0.00000e+00  2.24875e-02  2.45100e-02
 1.80000e-03  2.49711e-03  0.00000e+00  2.24875e-02  2.41600e-02
 1.80000e-03  2.51960e-03  0.00000e+00  2.24875e-02  2.37300e-02
 1.80000e-03  2.54209e-03  0.00000e+00  2.24875e-02  2.34500e-02
 1.80000e-03  2.56458e-03  0.00000e+00  2.24875e-02  2.32000e-02
 1.80000e-03  2.58706e-03  0.00000e+00  2.24875e-02  2.28700e-02
 1.80000e-03  2.60955e-03  0.00000e+00  2.24875e-02  2.25400e-02
 1.80000e-03  2.63204e-03  0.00000e+00  2.24875e-02  2.20900e-02
 1.80000e-03  2.65453e-03  0.00000e+00  2.24875e-02  2.17800e-02
 1.80000e-03  2.67701e-03  0.00000e+00  2.24875e-02  2.16000e-02
 1.80000e-03  2.69950e-03  0.00000e+00  2.24875e-02  2.13000e-02
 1.80000e-03  2.72199e-03  0.00000e+00  2.24875e-02  2.10200e-02
 1.80000e-03  2.74448e-03  0.00000e+00  2.24875e-02  2.07300e-02
 1.80000e-03  2.76696e-03  0.00000e+00  2.24875e-02  2.04000e-02
 1.80000e-03  2.78945e-03  0.00000e+00  2.24875e-02  2.01600e-02
 1.80000e-03  2.81194e-03  0.00000e+00  2.24875e-02  1.99600e-02
 1.80000e-03  2.83443e-03  0.00000e+00  2.24875e-02  1.96500e-02
 1.80000e-03  2.85691e-03  0.00000e+00  2.24875e-02  1.93600e-02
 1.80000e-03  2.87940e-03  0.00000e+00  2.24875e-02  1.90500e-02
 1.80000e-03  2.90189e-03  0.00000e+00  2.24875e-02  1.88300e-02
 1.80000e-03  1.80000e-03  0.00000e+00  2.24875e-02  3.90700e-02
 1.80000e-03  1.82249e-03  0.00000e+00  2.24875e-02  3.83700e-02
 1.80000e-03  1.84498e-03  0.00000e+00  2.24875e-02  3.85500e-02
 1.80000e-03  1.86746e-03  0.00000e+00  2.24875e-02  3.84900e-02
 1.80000e-03  1.88995e-03  0.00000e+00  2.24875e-02  3.66900e-02
 1.80000e-03  1.91244e-03  0.00000e+00  2.24875e-02  3.63500e-02
 1.80000e-03  1.93493e-03  0.00000e+00  2.24875e-02  3.59000e-02
 1.80000e-03  1.95741e-03  0.00000e+00  2.24875e-02  3.54700e-02
 1.80000e-03  1.97990e-03  0.00000e+00  2.24875e-02  3.48900e-02
 1.80000e-03  2.00239e-03  0.00000e+00  2.24875e-02  3.42500e-02
 1.80000e-03  2.02488e-03  0.00000e+00  2.24875e-02  3.37400e-02
 1.80000e-03  2.04736e-03  0.00000e+00  2.24875e-02  3.36000e-02
 1.80000e-03  2.06985e-03  0.00000e+00  2.24875e-02  3.18900e-02
 1.80000e-03  2.09234e-03  0.00000e+00  2.24875e-02  3.18300e-02
 1.80000e-03  2.11483e-03  0.00000e+00  2.24875e-02  3.16500e-02
 1.80000e-03  2.13731e-03  0.00000e+00  2.24875e-02  3.11600e-02
 1.80000e-03  2.15980e-03  0.00000e+00  2.24875e-02  3.04800e-02
 1.80000e-03  2.18229e-03  0.00000e+00  2.24875e-02  3.03500e-02
 1.80000e-03  2.20478e-03  0.00000e+00  2.24875e-02  2.95300e-02
 1.80000e-03  2.22726e-03  0.00000e+00  2.24875e-02  2.96700e-02
 1.80000e-03  2.24975e-03  0.00000e+00  2.24875e-02  2.90300e-02
 1.80000e-03  2.27224e-03  0.00000e+00  2.24875e-02  2.77200e-02
 1.80000e-03  2.29473e-03  0.00000e+00  2.24875e-02  2.78100e-02
 1.80000e-03  2.31721e-03  0.00000e+00  2.24875e-02  2.75000e-02
 1.80000e-03  2.33970e-03  0.00000e+00  2.24875e-02  2.72800e-02
 1.80000e-03  2.36219e-03  0.00000e+00  2.24875e-02  2.64300e-02
 1.80000e-03  2.38468e-03  0.00000e+00  2.24875e-02  2.60400e-02
 1.80000e-03  2.40716e-03  0.00000e+00  2.24875e-02  2.54400e-02
 1.80000e-03  2.42965e-03  0.00000e+00  2.24875e-02  2.52000e-02
 1.80000e-03  2.45214e-03  0.00000e+00  2.24875e-02  2.49300e-02
 1.80000e-03  2.47463e-03  0.00000e+00  2.24875e-02  2.46900e-02
 1.80000e-03  2.49711e-03  0.00000e+00  2.24875e-02  2.41400e-02
 1.80000e-03  2.51960e-03  0.00000e+00  2.24875e-02  2.40200e-02
 1.80000e-03  2.54209e-03  0.00000e+00  2.24875e-02  2.37300e-02
 1.80000e-03  2.56458e-03  0.00000e+00  2.24875e-02  2.33800e-02
 1.80000e-03  2.58706e-03  0.00000e+00  2.24875e-02  2.26500e-02
 1.80000e-03  2.60955e-03  0.00000e+00  2.24875e-02  2.25800e-02
 1.80000e-03  2.63204e-03  0.00000e+00  2.24875e-02  2.23000e-02
 1.80000e-03  2.65453e-03  0.00000e+00  2.24875e-02  2.18600e-02
 1.80000e-03  2.67701e-03  0.00000e+00  2.24875e-02  2.13000e-02
 1.80000e-03  2.69950e-03  0.00000e+00  2.24875e-02  2.11800e-02
 1.80000e-03  2.72199e-03  0.00000e+00  2.24875e-02  2.09200e-02
 1.80000e-03  2.74448e-03  0.00000e+00  2.24875e-02  2.07000e-02
 1.80000e-03  2.76696e-03  0.00000e+00  2.24875e-02  2.04600e-02
 1.80000e-03  2.78945e-03  0.00000e+00  2.24875e-02  2.01000e-02
 1.80000e-03  2.81194e-03  0.00000e+00  2.24875e-02  1.98400e-02
 1.80000e-03  2.83443e-03  0.00000e+00  2.24875e-02  1.97200e-02
 1.80000e-03  2.85691e-03  0.00000e+00  2.24875e-02  1.96000e-02
 1.80000e-03  2.87940e-03  0.00000e+00  2.24875e-02  1.90300e-02
 1.80000e-03  2.90189e-03  0.00000e+00  2.24875e-02  1.88200e-02
 7.00000e-04  2.80000e-03  0.00000e+00  2.24875e-02  4.03000e-03
 7.00000e-04  2.82249e-03  0.00000e+00  2.24875e-02  4.05000e-03
 7.00000e-04  2.84498e-03  0.00000e+00  2.24875e-02  4.26000e-03
 7.00000e-04  2.86746e-03  0.00000e+00  2.24875e-02  4.13000e-03
 7.00000e-04  2.88995e-03  0.00000e+00  2.24875e-02  3.95000e-03
 7.00000e-04  2.91244e-03  0.00000e+00  2.24875e-02  3.91000e-03
